epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,83.4307,2.18198,2.62783,1.76229,0.59915,0.61113,0.55708,0.15881,2.24016,2.28808,1.5033,0.000661538,0.000661538,0.000661538
2,167.247,2.24331,2.2798,1.90506,0.43112,0.46305,0.36356,0.08519,2.77326,2.3837,1.93525,0.00131067,0.00131067,0.00131067
3,250.373,2.21228,2.08366,1.92275,0.59369,0.70936,0.60417,0.1852,2.26066,2.92145,1.62837,0.00194221,0.00194221,0.00194221
4,333.863,2.1817,2.03441,1.90228,0.18142,0.37931,0.13502,0.02968,2.81467,2.61208,2.07363,0.0019208,0.0019208,0.0019208
5,416.925,2.17048,1.95147,1.91364,0.64581,0.69951,0.65389,0.15225,2.77671,1.48495,2.12563,0.0018944,0.0018944,0.0018944
6,500.554,2.18003,1.94984,1.89102,0.78828,0.81773,0.83803,0.28001,2.17071,1.55234,1.63457,0.001868,0.001868,0.001868
7,583.898,2.10286,1.8548,1.85388,0.67416,0.80518,0.79017,0.28433,2.14542,1.51829,1.63018,0.0018416,0.0018416,0.0018416
8,666.524,2.0362,1.7871,1.80947,0.71239,0.73892,0.73453,0.22828,2.32514,1.42082,1.67403,0.0018152,0.0018152,0.0018152
9,750.569,2.00371,1.80852,1.77567,0.82228,0.84729,0.88703,0.35125,1.90701,1.29581,1.44024,0.0017888,0.0017888,0.0017888
10,834.148,2.02263,1.79166,1.79226,0.73812,0.79144,0.82277,0.29815,2.00014,1.4429,1.49643,0.0017624,0.0017624,0.0017624
11,917.835,1.99208,1.75061,1.76794,0.8556,0.84729,0.89681,0.33278,2.05373,1.16868,1.60835,0.001736,0.001736,0.001736
12,1001.23,1.96765,1.73727,1.77575,0.66911,0.7734,0.73162,0.22417,2.37798,1.3921,1.72757,0.0017096,0.0017096,0.0017096
